name	id	birth	age	diff
TE_g750_age250_C51	C51	750	250	233
TE_g750_age250_C73	C73	750	250	234
TE_g750_age250_C48	C48	750	250	237
TE_g750_age250_C68	C68	750	250	238
TE_g750_age250_C64	C64	750	250	239
TE_g750_age250_C86	C86	750	250	239
TE_g750_age250_C91	C91	750	250	239
TE_g750_age250_C52	C52	750	250	240
TE_g750_age250_C53	C53	750	250	244
TE_g750_age250_C76	C76	750	250	244
TE_g750_age250_C94	C94	750	250	244
TE_g750_age250_C47	C47	750	250	247
TE_g750_age250_C84	C84	750	250	247
TE_g750_age250_C62	C62	750	250	248
TE_g750_age250_C92	C92	750	250	248
TE_g750_age250_C40	C40	750	250	250
TE_g750_age250_C71	C71	750	250	250
TE_g750_age250_C77	C77	750	250	250
TE_g750_age250_C85	C85	750	250	256
TE_g750_age250_C41	C41	750	250	258
TE_g750_age250_C59	C59	750	250	259
TE_g750_age250_C81	C81	750	250	259
TE_g750_age250_C90	C90	750	250	259
TE_g750_age250_C100	C100	750	250	259
TE_g750_age250_C35	C35	750	250	260
TE_g750_age250_C38	C38	750	250	260
TE_g750_age250_C58	C58	750	250	261
TE_g750_age250_C32	C32	750	250	262
TE_g750_age250_C65	C65	750	250	264
TE_g750_age250_C79	C79	750	250	264
TE_g750_age250_C45	C45	750	250	265
TE_g750_age250_C46	C46	750	250	265
TE_g750_age250_C36	C36	750	250	266
TE_g750_age250_C82	C82	750	250	266
TE_g750_age250_C42	C42	750	250	267
TE_g750_age250_C39	C39	750	250	268
TE_g750_age250_C57	C57	750	250	268
TE_g750_age250_C61	C61	750	250	268
TE_g750_age250_C69	C69	750	250	269
TE_g750_age250_C83	C83	750	250	269
TE_g750_age250_C31	C31	750	250	270
TE_g750_age250_C44	C44	750	250	271
TE_g750_age250_C60	C60	750	250	271
TE_g750_age250_C43	C43	750	250	272
TE_g750_age250_C78	C78	750	250	272
TE_g750_age250_C50	C50	750	250	275
TE_g750_age250_C55	C55	750	250	275
TE_g750_age250_C97	C97	750	250	275
TE_g750_age250_C80	C80	750	250	277
TE_g750_age250_C75	C75	750	250	280
TE_g750_age250_C34	C34	750	250	281
TE_g750_age250_C37	C37	750	250	281
TE_g750_age250_C49	C49	750	250	281
TE_g750_age250_C63	C63	750	250	281
TE_g750_age250_C67	C67	750	250	281
TE_g750_age250_C56	C56	750	250	282
TE_g750_age250_C89	C89	750	250	283
TE_g750_age250_C93	C93	750	250	284
TE_g750_age250_C54	C54	750	250	285
TE_g750_age250_C74	C74	750	250	285
TE_g750_age250_C66	C66	750	250	288
TE_g750_age250_C87	C87	750	250	289
TE_g750_age250_C99	C99	750	250	289
TE_g750_age250_C95	C95	750	250	290
TE_g750_age250_C96	C96	750	250	290
TE_g750_age250_C70	C70	750	250	296
TE_g750_age250_C98	C98	750	250	297
TE_g750_age250_C33	C33	750	250	299
TE_g750_age250_C88	C88	750	250	304
TE_g750_age250_C72	C72	750	250	306
TE_g500_age500_C24	C24	500	500	241
TE_g500_age500_C23	C23	500	500	260
TE_g500_age500_C21	C21	500	500	265
TE_g500_age500_C30	C30	500	500	272
TE_g500_age500_C26	C26	500	500	273
TE_g500_age500_C25	C25	500	500	278
TE_g500_age500_C22	C22	500	500	279
TE_g500_age500_C28	C28	500	500	279
TE_g500_age500_C29	C29	500	500	279
TE_g500_age500_C27	C27	500	500	297
TE_g250_age750_C20	C20	250	750	265
TE_g250_age750_C15	C15	250	750	269
TE_g250_age750_C19	C19	250	750	271
TE_g250_age750_C14	C14	250	750	277
TE_g250_age750_C17	C17	250	750	277
TE_g250_age750_C13	C13	250	750	279
TE_g250_age750_C18	C18	250	750	280
TE_g250_age750_C12	C12	250	750	281
TE_g250_age750_C11	C11	250	750	295
TE_g250_age750_C16	C16	250	750	307
TE_g0_age1000_C3	C3	0	1000	248
TE_g0_age1000_C6	C6	0	1000	250
TE_g0_age1000_C1	C1	0	1000	275
TE_g0_age1000_C2	C2	0	1000	277
TE_g0_age1000_C7	C7	0	1000	283
TE_g0_age1000_C10	C10	0	1000	284
TE_g0_age1000_C8	C8	0	1000	285
TE_g0_age1000_C9	C9	0	1000	288
TE_g0_age1000_C5	C5	0	1000	299
TE_g0_age1000_C4	C4	0	1000	306
